model_name,use_smc,lmbda,resample_freq,t_start,t_end,num_particles,potential_type,seed,div_score,IR_avg,IR_max,ave_score,bon_score,job,results_filename
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,3,max,43,0.0,0.19031335910336766,0.6874058898775182,0.5030721517778255,0.5028035675908017,20241226-191227,results_113.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,3,max,42,0.0,0.1827959518258209,0.6708228913174562,0.5024939107385916,0.5096156601475751,20241226-175221,results_57.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,3,max,42,0.0,0.1827959518258209,0.6708228913174562,0.5024939107385916,0.5096156601475751,20241224-124746,results_41.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,3,max,42,0.0,0.1827959518258209,0.6708228913174562,0.5024939107385916,0.5096156601475751,20241226-174505,results_37.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,42,0.0,0.16140340082347393,0.736289335832431,0.50154210545168,0.5525384160756501,20241221-025147,results_8.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,42,0.0,0.16140340082347393,0.736289335832431,0.50154210545168,0.5525384160756501,20241224-124533,results_17.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,42,0.0,0.16140340082347393,0.736289335832431,0.50154210545168,0.5525384160756501,20241226-100503,results_48.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,42,0.0,0.16140340082347393,0.736289335832431,0.50154210545168,0.5525384160756501,20241218-212709,results_153.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,42,0.0,0.16140340082347393,0.736289335832431,0.50154210545168,0.5525384160756501,20241218-212603,results_23.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,2,max,42,0.0,-0.020441673595835513,0.3653006842150437,0.4564725714592736,0.4929179203381331,20241219-004018,results_183.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,2,max,42,0.0,-0.020441673595835513,0.3653006842150437,0.4564725714592736,0.4929179203381331,20241221-064407,results_47.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,2,max,44,0.0,-0.0025413112999504235,0.3922899242458532,0.45119958449745684,0.49342601547388787,20241224-150829,results_66.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,2,max,44,0.0,-0.0025413112999504235,0.3922899242458532,0.45119958449745684,0.49342601547388787,20241221-154302,results_12.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,2,max,44,0.0,-0.0025413112999504235,0.3922899242458532,0.45119958449745684,0.49342601547388787,20241226-184519,results_39.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,2,max,44,0.0,-0.0025413112999504235,0.3922899242458532,0.45119958449745684,0.49342601547388787,20241219-075422,results_198.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,2,max,44,0.0,-0.009057770899175303,0.39277038432213107,0.44830105129307257,0.5034543126298446,20241226-144656,results_128.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,2,max,44,0.0,-0.009057770899175303,0.39277038432213107,0.44830105129307257,0.5034543126298446,20241219-021437,results_65.jsonl
